IncidentId,UniqueId,Name,Location,Latitude,Longitude,AcresBurnedDisplay,PercentContainedDisplay,ExternalIncidentLink,CountiesList,UpdatedDate,StartedDate,AdminUnit,IncidentTypeDisplay,Url,IsActive
3215,f3558310-247c-4913-a08b-68d568abdf4b,Colorado Fire,Palo Colorado Canyon, Big Sur, south of Carmel-by-the-sea,36.396461,-121.880533,687,100%,,Monterey,2022-02-03 11:08:21,2022-01-21,CAL FIRE San Benito Monterey Unit & Mid Coast Fire,Wildfire,https://www.fire.ca.gov/incidents/2022/1/21/colorado-fire/,N,
3216,83db2882-a7c1-4e62-86f8-c9470e8a0c87,Emerald Fire ,Hwy 1 and Emerald bay, northwest of Laguna Beach,33.558085,-117.805666,154,100%,,Orange,2022-02-24 11:56:41,2022-02-10,Orange County Fire Authority ,Wildfire,https://www.fire.ca.gov/incidents/2022/2/10/emerald-fire/,N,
3217,0261dfa0-f1c5-401b-abf3-91184cd2ac2c,Airport Fire,Airport Road and East Line Street, east of Bishop ,37.369355,-118.371813,4,136,100%,,Inyo,2022-02-26 08:24:33,2022-02-16,BDU,Wildfire,https://www.fire.ca.gov/incidents/2022/2/16/airport-fire/,N,
3218,e4391d31-46b5-49ad-b4d5-4a934b73d08b,Jim Fire ,Holy Jim Canyon & Trabuco Creek Road, northeast of Rancho Santa Margarita,33.6769121,-117.5181037,,,https://inciweb.nwcg.gov/incident/7987/,Orange,2022-04-06 11:56:57,2022-03-02,Cleveland National Forest ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/2/jim-fire/,N,
3219,ee27ed9e-44fb-4133-a2c9-f16a90fbeb46,Alpine Fire ,Near Monte Rio,38.46234,-123.015106,21,100%,,Sonoma,2022-03-06 19:31:46,2022-03-01,CAL FIRE Sonoma Lake Napa Unit ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/1/alpine-fire/,N,
3220,719127a0-5d9b-42e6-985f-ce3e6a718c0e,Flanagan Fire ,Flanagan Road and N Beltline Road, west of Shasta Lake City,40.67671,-122.4073,88,100%,,Shasta,2022-03-15 16:44:27,2022-03-04,CAL FIRE Shasta-Trinity Unit ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/4/flanagan-fire/,N,
3221,d9f40570-e594-457b-bf33-9bb2eec13d50,Hollister Fire,Hollister Ranch Road & Del Norte Road, southwest of Solvang,34.4687419,-120.2770391,120,100%,,Santa Barbara,2022-03-25 09:09:38,2022-03-12,Santa Barbra County Fire Department ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/12/hollister-fire/,N,
3222,264c5249-6933-4d8f-a270-25462d14a407,Gulch Fire ,Dorris Brownell Road and East Butte Valley Road, southeast of Dorris,41.9525087,-121.9015432,113,100%,,Siskiyou,2022-03-15 16:44:37,2022-03-12,CAL FIRE Siskiyou ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/12/gulch-fire/,N,
3223,09f9ff54-30ba-48d7-a8f3-9dd6a627fafd,Evergreen Fire ,Evergreen Lane & Hwy 97, northeast of Weed.,41.4455854,-122.3685584,12,100%,,Siskiyou,2022-03-14 19:49:09,2022-03-12,CAL FIRE Siskiyou ,Wildfire,https://www.fire.ca.gov/incidents/2022/3/12/evergreen-fire/,N,
3225,55b09ba6-f06c-41fa-b940-2438100bb452,Whitlow Fire,East Bear and Bear Lake Rd, northwest of Pondosa ,41.234712,-121.692093,10,100%,,Siskiyou,2022-03-27 16:17:47,2022-03-25,CALFIRE Siskiyou Unit,Wildfire,https://www.fire.ca.gov/incidents/2022/3/25/whitlow-fire/,N,
3226,fa9ec8b0-aa66-4e58-a84a-ca5cbc101692,72 Fire,Hwy 86 and Ave 72, Community of Oasis ,33.525345,-116.099728,,,https://www.rvcfire.org/incidents/fact-sheets/72-03-2022,Riverside,2022-04-06 12:01:12,2022-03-26,Riverside County Fire,Wildfire,https://www.fire.ca.gov/incidents/2022/3/26/72-fire/,N,
3231,14a709fe-bd83-4ee2-8901-975aa4c44608,Moonlight RX,Antelope Lake, southwest of Janesville in Plumas County. ,40.18494,-120.4849,,,,Plumas,2022-05-23 09:40:33,2022-04-09,Plumas National Forest,Wildfire,https://www.fire.ca.gov/incidents/2022/4/9/moonlight-rx/,N,
3239,4a03c163-2598-4adf-aec1-5c3dac41fa23,Platina Fire,Platina Road and Nono Road, Igo-Southwest of Redding,40.44412,-122.690559,10,100%,,Shasta,2022-04-30 09:24:22,2022-04-27,CAL FIRE Shasta-Trinity Unit ,Wildfire,https://www.fire.ca.gov/incidents/2022/4/27/platina-fire/,N,
3240,f904489b-0488-4764-9a98-bd3b818d1756,111 Fire,Hwy 111 and Parkside Dr, 10 miles South of the City of Coachella,33.510716,-115.916687,15,100%,,Riverside,2022-05-01 22:29:02,2022-04-30,CAL FIRE / Riverside County Fire,Wildfire,https://www.fire.ca.gov/incidents/2022/4/30/111-fire/,N,
3241,05a22a51-f594-41d7-8cfa-ff8811b145c5,Pyrite Fire ,Granite Hill and Jurupa Valley ,34.018021,-117.462367,60,100%,,Riverside,2022-05-07 18:59:46,2022-05-06,CAL FIRE Riverside Unit ,Wildfire,https://www.fire.ca.gov/incidents/2022/5/6/pyrite-fire/,N,
3243,09a71f96-1215-4fc6-8b9a-da44930af8c4,House Fire,Tollhouse Rd and Van Vleet, southwest of Shaver Lake in Fresno County,36.974622,-119.443013,171,100%,,Fresno,2022-05-14 20:25:54,2022-05-11,CAL FIRE/Fresno County Fire,Fire,https://www.fire.ca.gov/incidents/2022/5/11/house-fire/,N,
3244,b81c84b9-bde4-49c8-aded-914d170ba9ae,Coastal Fire,St. Tropez and Laguna Ridge Trail, southeast of Laguna Beach ,33.509464,-117.744398,200,100%,,Orange,2022-05-17 07:54:51,2022-05-11,Orange County Fire Authority,Fire,https://www.fire.ca.gov/incidents/2022/5/11/coastal-fire/,N,
3245,93c25ae3-115d-465b-8994-c15b1b81b466,Coyote Fire,Near Old Idyllwild Road, in Banning,33.886637,-116.900635,46,100%,,Riverside,2022-05-23 09:45:14,2022-05-15,CAL FIRE RRU,Fire,https://www.fire.ca.gov/incidents/2022/5/15/coyote-fire/,N,
3246,c20ca686-9666-4f4e-861e-bb6085d0e889,Poplar Fire,Poplar Ave  and Road 265, Porterville ,36.051411,-118.98167,25,100%,,Tulare,2022-05-17 09:17:03,2022-05-16,Tulare County Fire,Fire,https://www.fire.ca.gov/incidents/2022/5/16/poplar-fire/,N,
3247,56efbe7f-664a-42f7-b9b0-5c290d8ce3cf,Edmonston Fire,Edmonston Pumping Plant Road and Cattle Creek, Northeast of Lebec ,34.935583,-118.873889,682,100%,,Kern,2022-05-23 17:57:07,2022-05-19,Kern County Fire,Wildfire,https://www.fire.ca.gov/incidents/2022/5/19/edmonston-fire/,N,
