IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
998;3135c367-1274-4cc4-9152-661f6fd7707e;Creek Fire;Dry Creek Road 3 miles west of Yountville;38.40958;-122.43172;65;100%;;Napa;2016-10-12 18:00:00;2016-10-10;CAL FIRE Sonoma-Lake-Napa Unit;;https://www.fire.ca.gov/incidents/2016/10/10/creek-fire/;N;
1075;7106ba43-100b-41f9-acbf-9fb9e9ab9ef7;Taglio Fire;I-5 & Taglio Road, east of Gustine;37.2171;-121.08036;30;100%;;Merced;2016-04-24 15:30:00;2016-04-24;CAL FIRE Madera-Mariposa-Merced Unit;;https://www.fire.ca.gov/incidents/2016/4/24/taglio-fire/;N;
1086;2c77fa07-73e6-45fe-a527-5bd526bdef41;Gorman Fire;off northbound Interstate 5 at Gorman Creek;34.6888731;-118.7892593;0;100%;;Los Angeles;2016-04-19 15:30:00;2016-04-19;Los Angeles County Fire;;https://www.fire.ca.gov/incidents/2016/4/19/gorman-fire/;N;
1087;867bead0-b6a5-4ec4-a4de-83af2e854cd1;Casitas Fire;near Casitas Vista and Ventura Avenue, south of Casitas Springs  ;0.0;0.0;50;100%;;Ventura;2016-04-30 07:00:00;2016-04-28;Ventura County Fire Department;;https://www.fire.ca.gov/incidents/2016/4/28/casitas-fire/;N;
1088;ffec404e-dea9-4175-8c50-8f2b0ca3efdd;Tulloch Fire;off New Peoria Flat Road and Old Melones Road, west of Sonora;37.927613;-120.528836;85;100%;;Tuolumne;2016-06-01 19:45:00;2016-05-30;CAL FIRE Tuolumne-Calaveras Unit;;https://www.fire.ca.gov/incidents/2016/5/30/tulloch-fire/;N;
1089;f12c92df-003f-42bc-9cb0-a15323f4166c;Hills Fire;four miles Northwest of Panoche and Interstate 5 ;0.0;0.0;151;100%;;Fresno;2016-04-29 17:15:00;2016-04-28;CAL FIRE Fresno-Kings Unit;;https://www.fire.ca.gov/incidents/2016/4/28/hills-fire/;N;
1090;55fa95e6-f09e-42c4-889b-a4b5b63dccf2;Metz Fire;Metz Rd & Blue Jay Ln, southeast of Soledad;36.38123;-121.20059;3,876;100%;;Monterey;2016-05-25 18:15:00;2016-05-22;CAL FIRE San Benito-Monterey Unit;;https://www.fire.ca.gov/incidents/2016/5/22/metz-fire/;N;
1091;ace1f464-7a70-4dcc-b8c5-d64fb1021d0e;Wheatland Fire;Hwy 210 and Wheatland Ave, southeast of Lake View Terrace;34.276;-118.354;156;100%;;Los Angeles;2016-05-25 18:45:00;2016-05-23;LA County Fire Department/Angeles National Forest;;https://www.fire.ca.gov/incidents/2016/5/23/wheatland-fire/;N;
1092;09ab0430-7679-494c-96d4-d7d938351cf4;DeWolf Fire;DeWolf Ave & Behymer Ave, 2 miles north of Clovis;36.88286;-119.654;278;100%;;Fresno;2016-05-25 08:00:00;2016-05-25;CAL FIRE Fresno-Kings Unit;;https://www.fire.ca.gov/incidents/2016/5/25/dewolf-fire/;N;
1093;d0ffe734-daf1-4446-af7d-4f8fde2802b7;Old Fire;off of Old Topanga Canyon Road and Mulholland Hwy, Calabasas;0.0;0.0;0;100%;;Los Angeles;2016-06-13 12:30:00;2016-06-04;Los Angeles County Fire Department;;https://www.fire.ca.gov/incidents/2016/6/4/old-fire/;N;
1094;648cfdd4-f3f5-4faf-8ab1-a6f2cb5d9a6c;Coe Fire;Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.);37.17072;-121.42238;120;100%;;Stanislaus;2016-06-09 17:10:00;2016-06-07;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2016/6/7/coe-fire/;N;
